Time,Emotion,Confidence
18:33:30,Peace,99.95277
18:33:33,Peace,98.725296
18:33:38,Angry,46.36878
18:33:43,Peace,94.30132
18:33:48,Sad,49.39666
18:33:54,Angry,74.52367
18:33:59,Peace,92.85484
18:34:05,Neutral,89.634415
18:34:15,Angry,76.23714
18:34:21,Peace,90.85852
18:34:28,Angry,55.938026
18:34:34,Peace,94.27707
18:34:39,Peace,99.31046
18:34:44,Peace,99.995224
18:34:49,Peace,90.55561
18:34:55,Peace,98.72286
18:35:00,Peace,93.55538
18:35:05,Wonder,64.97892
18:35:10,Angry,45.618652
18:35:15,Sad,80.87619
18:35:20,Peace,99.5791
